2025-11-03 at 21:50:13 | ERROR | 
❌ Error in file: C:\Users\SHIVANI\OneDrive\Desktop\7th sem\Project\AutoMoM---Automated-Minutes-of-Meeting-Generator\main.py
🧩 Line: 6
💬 Message: division by zero
2025-11-03 at 22:25:57 | INFO | 🚀 Starting AutoMoM - Automated Minutes of Meeting Generator
2025-11-03 at 22:25:57 | SUCCESS | ✅ AutoMoM execution completed successfully!
2025-11-03 at 22:30:54 | INFO | 🔍 Scanning all transcript folders under: data/MeetingBank/Audio&Transcripts
2025-11-03 at 22:32:33 | SUCCESS | ✅ Loaded 1366 transcripts from all regions.
2025-11-03 at 22:32:33 | SUCCESS | 💾 Processed transcripts saved to: data/processed\meeting_transcripts_all.csv
2025-11-06 at 19:06:24 | INFO | 🔍 Scanning all transcript folders under: data/MeetingBank/Audio&Transcripts
2025-11-06 at 19:06:24 | WARNING | Empty transcript text extracted for data/MeetingBank/Audio&Transcripts\Alameda\transcripts\alameda_009ba177-e942-4848-a2c6-0a3b4bec8d5e.mp3.transcript.json; trying to join all text-like fields.
2025-11-06 at 19:06:24 | WARNING | Empty transcript text extracted for data/MeetingBank/Audio&Transcripts\Alameda\transcripts\alameda_02059b3e-4e52-4690-adc5-a2d16b16cbe6.mp3.transcript.json; trying to join all text-like fields.
2025-11-06 at 19:06:25 | WARNING | Empty transcript text extracted for data/MeetingBank/Audio&Transcripts\Alameda\transcripts\alameda_039f58b4-c485-4713-a2fa-f710f2f93148.mp3.transcript.json; trying to join all text-like fields.
2025-11-06 at 19:06:25 | WARNING | Empty transcript text extracted for data/MeetingBank/Audio&Transcripts\Alameda\transcripts\alameda_04569493-1831-4776-a1a0-ceec479283d7.mp3.transcript.json; trying to join all text-like fields.
2025-11-06 at 19:06:25 | WARNING | Empty transcript text extracted for data/MeetingBank/Audio&Transcripts\Alameda\transcripts\alameda_05fd2fe2-ce9f-48cf-8acc-c0a49d6a8067.mp3.transcript.json; trying to join all text-like fields.
2025-11-06 at 19:06:25 | WARNING | Empty transcript text extracted for data/MeetingBank/Audio&Transcripts\Alameda\transcripts\alameda_078b8d8c-ee71-40e0-9033-def7f38adca9.mp3.transcript.json; trying to join all text-like fields.
